"PHONENUMBER","PURCHASEHISTORY","FNAME","LNAME","LOYALTYP","DELIVADDRESS","PASSWORD"
"71855456","379","Ahmad","Khaled","915886","Chiyah","rgdf"
"79121236","139","Maroun","Zein","321877","Aley","hwyrkieklmn"
"71318717","234","Hani","Sidani","297055","Jbaa","gsa"
"72209793","333","Aahad","Khaled","162530","Sidon","dcsafd"
"70956044","674","Ahmad","Zein","885808","Beirut","jkelk"
"79631638","348","Aahad","Zein","223383","Jbeil","mnb"
"73915780","763","Ahmad","Khalil","604932","Jounieh","va"
"70213755","838","Abdel","Sweid","895983","Chiyah","wert"
"72266283","464","Hassim","Khaled","112960","Aley","gyughjkm"
"72350273","192","Abdel","Khaled","453152","Beirut","nbvf"
"71016654","42","Ahmad","Zein","66701","Jbeil","der"
"76034198","437","Abdel","Zein","214776","Jbaa","tyuik"
"71198298","685","Maroun","Kawas","691073","Jbeil","mnbvfc"
"78245367","513","Riwa","Sidani","74767","Aley","dsxc"
"74581107","46","Ahmad","Sidani","175267","Chiyah","vbnjmki"
"77412106","48","Ahmad","Khalil","930909","Sidon","uytredsxdcfvgbhn"
"73546517","67","Hassim","Abo Ibrahim","355796","Jbaa","jiuytres"
"71215965","93","Ahmad","Zein","340084","Beirut","dfghnjm"
"74074896","73","Amal","Abo Ibrahim","475345","Tripoli","nbvcdsw"
"71268190","20","Hassim","Abo Ibrahim","79888","Jounieh","ertyujk"
